"","WW_Name","WW_ID","WW_Type","WW_Loc","WW_Qual","Treatment_Level","Destination","WW_Date"
"194","Kempambudhi",3193,"Lake",NA,NA,"Secondary and Higher","Vrishabhavathi Valley",NA
"195","Yelahanka",3194,"Lake",NA,NA,"Secondary and Higher","Hebbal",NA
"196","Mylasandra",3195,"Lake",NA,NA,"Secondary and Higher","Vrishabhavathi Valley",NA
"197","Nagasandra",3196,"Lake",NA,NA,"Secondary and Higher","Vrishabhavathi Valley",NA
"198","Jakkur",3197,"Lake",NA,NA,"Secondary and Higher","Hebbal",NA
"199","K R Puram",3198,"Lake",NA,NA,"Secondary and Higher","Hebbal",NA
"200","Kadabeesanahalli",3199,"Lake",NA,NA,"Secondary and Higher","Koramangala-Challaghatta Valley",NA
"201","Raja Canal",3200,"Lake",NA,NA,"Secondary and Higher","Hebbal",NA
"202","Cubbon Park",3201,"Lake",NA,NA,"Secondary and Higher","Koramangala-Challaghatta Valley",NA
"203","Lalbagh",3202,"Lake",NA,NA,"Secondary and Higher","Koramangala-Challaghatta Valley",NA
"204","Untreated Water",3203,"Lake",NA,NA,"None","All aforementioned areas",NA
"205","Untreated Water",3204,NA,NA,NA,"None","Does not say",NA
"206","Untreated Water",3205,NA,NA,"Sewage pools in cesspits, only community latrines & septic tanks available","None",NA,NA
"207","Untreated Water",3206,"RIver",NA,"Lots of water mixed with chemical waste from pharmaceutical companies","None","Musi",NA
"208","Hussain Sagar",3207,"Lake",NA,NA,"Secondary and Higher","Nallacheruvu",NA
"209","Amberpet",3208,"Lake",NA,"Capacity will be increased to  339 MLD","Secondary and Higher","Nallacheruvu",NA
"210","Bhairoba",3209,"Canal",NA,"Article states that 281 MLD goes untreated.. #s don't add up","Primary","Nalli","1928"
"211","Dr Naidu ID Hospital",3210,"River",NA,NA,"Secondary and Higher","Mula-Mutha","1981"
"212","Tanajiwadi",3211,"River",NA,NA,"Secondary and Higher","Mula-Mutha",NA
"213","Bopodi",3212,"River",NA,NA,"Secondary and Higher","Mula-Mutha",NA
"214","Erandawana",3213,"River",NA,NA,"Secondary and Higher","Mula-Mutha",NA
"215","IDH",3214,"River",NA,NA,"Secondary and Higher","Mula-Mutha",NA
"216","Vithalwadi",3215,"River",NA,NA,"Secondary and Higher","Mula-Mutha",NA
"217","Untreated Water",3216,"River",NA,NA,"None","Mula-Mutha",NA
"218","Plant I",3217,"Lake",NA,NA,"Secondary and Higher","Siddheshwar, Dharmveer",NA
"219","Untreated Water",3218,"Lake",NA,NA,"None","Siddheshwar, Dharmveer",NA
"220","Veerasagara, Bheemasandara",3219,"River/Lake",NA,NA,"Secondary and Higher","Shimsa, Amanikere",NA
"221","Untreated Water",3220,"River/Lake",NA,NA,"None","Shimsa, Amanikere",NA
"222","Untreated Water",3221,"River",NA,NA,"None","Daya",NA
"223","Kodungalyur",3222,"Bay",NA,NA,"Secondary and Higher","Bay of Bengal",NA
"224","Koyembedu",3223,"Bay",NA,NA,"Secondary and Higher","Bay of Bengal",NA
"225","Nesapakkam",3224,"Bay",NA,NA,"Secondary and Higher","Bay of Bengal",NA
"226","Perungudi",3225,"Bay",NA,NA,"Secondary and Higher","Bay of Bengal",NA
"227","Villivakkam",3226,"Bay",NA,NA,"Secondary and Higher","Bay of Bengal",NA
"228","Untreated Water",3227,"Bay",NA,NA,"None","Bay of Bengal",NA
"229","Plant 1",3228,"Rivers",NA,NA,"Secondary and Higher","Mahanadi, Kathajodi",NA
"230","Plant 2",3229,"Rivers",NA,NA,"Primary","Mahanadi, Kathajodi",NA
"231","Plant 3",3230,"Rivers",NA,NA,"Primary","Mahanadi, Kathajodi","Proposed"
