"City_Name","Country_Name","City_ID","Country_ID","Continent_ID","Water_Quality_Notes","Water_Scarcity_Notes","WW_A_ID","WW_ID","WW_Vol","WW_Units","DVTR_ID","WTP_ID","DVSN_ID","DVSN_Name","DVSN_Type","DVSN_Date","DVSN_Loc","DVSN_Vol_Tot","DVSN_Units","DVTR_Name","DVTR_Pop","Pop_Source","DVTR_Tot_Vol","DVTR_Units","WW_Name","WW_Type","WW_Loc","WW_Qual","Treatment_Level","Destination","unsd_sub_region_4","gdp_billions_us","ppp_brookings","population","gdp_per_capita"
"Tokyo","Japan",13,392,4,NA,NA,NA,NA,NA,NA,1134,69,2814,"Chofu Intake Weir","River",NA,"35.587754,139.666668",NA,NA,"Tokyo Waterworks",12554106,"http://www.waterworks.metro.tokyo.jp/eng/supply/02.pdf",4334,"MLD",NA,NA,NA,NA,NA,NA,"Eastern Asia",NA,NA,40700000,50508.55
"Tokyo","Japan",13,392,4,NA,NA,NA,NA,NA,NA,1134,70,2814,"Chofu Intake Weir","River",NA,"35.587754,139.666668",NA,NA,"Tokyo Waterworks",12554106,"http://www.waterworks.metro.tokyo.jp/eng/supply/02.pdf",4334,"MLD",NA,NA,NA,NA,NA,NA,"Eastern Asia",NA,NA,40700000,50508.55
"Tokyo","Japan",13,392,4,NA,NA,NA,NA,NA,NA,1134,71,2808,"Yamaguchi Reservoir","Reservoir",NA,"35.777888,139.413285",93150684932,"MLD","Tokyo Waterworks",12554106,"http://www.waterworks.metro.tokyo.jp/eng/supply/02.pdf",4334,"MLD",NA,NA,NA,NA,NA,NA,"Eastern Asia",NA,NA,40700000,50508.55
"Tokyo","Japan",13,392,4,NA,NA,NA,NA,NA,NA,1134,72,4090,"Tokyo GW","Groundwater",NA,"35.689091,139.661529",NA,NA,"Tokyo Waterworks",12554106,"http://www.waterworks.metro.tokyo.jp/eng/supply/02.pdf",4334,"MLD",NA,NA,NA,NA,NA,NA,"Eastern Asia",NA,NA,40700000,50508.55
"Sao Paulo","Brazil",14,76,5,"Slums surround many reservoirs creating pollution problems; only 55% sewage treated","Water scarcity has led to conflicts w/ Campinas to the north",NA,NA,NA,NA,1105,143,2574,"Ponte Nova Dam - Alto Tiete system","Reservoir",NA,"-23.580114,-45.971861",NA,NA,"Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp)",26700000,"http://site.sabesp.com.br/site/interna/Default.aspx?secaoId=4",5789,"MLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Paulo","Brazil",14,76,5,"Slums surround many reservoirs creating pollution problems; only 55% sewage treated","Water scarcity has led to conflicts w/ Campinas to the north",NA,NA,NA,NA,1105,143,2575,"Jundiaí Taiaçupeba Dam - Alto Tiete system","Reservoir",NA,"-23.626911,-46.195278",NA,NA,"Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp)",26700000,"http://site.sabesp.com.br/site/interna/Default.aspx?secaoId=4",5789,"MLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Paulo","Brazil",14,76,5,"Slums surround many reservoirs creating pollution problems; only 55% sewage treated","Water scarcity has led to conflicts w/ Campinas to the north",NA,NA,NA,NA,1105,143,2576,"Biritiba-Mirim Dam - Alto Tiete system","Reservoir",NA,"-23.604655,-46.089449",NA,NA,"Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp)",26700000,"http://site.sabesp.com.br/site/interna/Default.aspx?secaoId=4",5789,"MLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Paulo","Brazil",14,76,5,"Slums surround many reservoirs creating pollution problems; only 55% sewage treated","Water scarcity has led to conflicts w/ Campinas to the north",NA,NA,NA,NA,1105,143,2577,"Represa Paraitinga - Alto Tiete system","Reservoir",NA,"-23.367786,-45.655317",NA,NA,"Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp)",26700000,"http://site.sabesp.com.br/site/interna/Default.aspx?secaoId=4",5789,"MLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Paulo","Brazil",14,76,5,"Slums surround many reservoirs creating pollution problems; only 55% sewage treated","Water scarcity has led to conflicts w/ Campinas to the north",NA,NA,NA,NA,1105,144,2578,"Jaguari Reservoir - Cantareira system","Reservoir","1981","-23.197332,-46.103611",NA,NA,"Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp)",26700000,"http://site.sabesp.com.br/site/interna/Default.aspx?secaoId=4",5789,"MLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Paulo","Brazil",14,76,5,"Slums surround many reservoirs creating pollution problems; only 55% sewage treated","Water scarcity has led to conflicts w/ Campinas to the north",NA,NA,NA,NA,1105,144,2579,"Cachoeira Reservoir - Cantareira system","Reservoir","1975","-23.031636,-46.288319",NA,NA,"Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp)",26700000,"http://site.sabesp.com.br/site/interna/Default.aspx?secaoId=4",5789,"MLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
