"","DVTR_Name","DVTR_ID","DVTR_Pop","Pop_Source","DVTR_Tot_Vol","Units"
"52","Long Beach Water Department (LBWD)",1053,464662,"http://www.lbwater.org/sites/default/files/FY%202013%20CCR.pdf",198,"MLD"
"53","Mesa Water Resources Department",1054,465000,"http://www.mesaaz.gov/water/PDF/2012Strategicbusinessplan.pdf",301,"MLD"
"54","Atlanta Department of Watershed Management",1055,1000000,"http://www.atlantawatershed.org/pdf/wqr2012.pdf",454,"MLD"
"55","Miami-Dade Water & Sewer Department",1056,2200000,"http://www.miamidade.gov/water/library/reports/water-quality-2012.pdf",1217,"MLD"
"56","Cleveland Division of Water (CWD)",1057,1500000,"http://www.clevelandwater.com/about_us/Documents/WCACD%20AboutPamplet-WEB%20(2).pdf",625,"MLD"
"57","East Bay Municipal Utilities District (EBMUD)",1058,1300000,NA,1609,"MLD"
"58","Minneapolis Water Works",1059,500000,"http://www.minneapolismn.gov/publicworks/water/water_waterfacts",216,"MLD"
"59","City of Tampa Water Department",1060,347645,"http://quickfacts.census.gov/qfd/states/12/1271000.html",246,"MLD"
"60","Tampa Bay Water",1061,2500000,"http://en.wikipedia.org/wiki/Tampa_Bay_Water",647,"MLD"
"61","Aurora Water",1062,339030,"http://quickfacts.census.gov/qfd/states/08/0804000.html",153,"MLD"
"62","City of Santa Ana Public Works Agency",1063,355000,"http://www.mwdh2o.com/mwdh2o/pages/memberag/agencies/santana.htm",169,"MLD"
"63","City of St. Louis Water Division",1064,318172,"http://quickfacts.census.gov/qfd/states/29/29510.html",511,"MLD"
"64","Saint Paul Regional Water Services",1065,415000,"http://mn-stpaul.civicplus.com/DocumentCenter/Home/View/1333",170,"MLD"
"65","City of Newark Department of Water and Sewer Utilities",1066,277140,"http://www.ci.newark.nj.us/userimages/downloads/Newark_Master_Plan_FINAL_Vol_I(1).pdf",292,"MLD"
"66","St. Petersburg Water Resources Department",1067,246541,"http://quickfacts.census.gov/qfd/states/12/1263000.html",104,"MLD"
"67","Agra Jal Nigam",1068,1200000,"Excreta Matters",245,"MLD"
"68","Allahabad Jal Sansthan",1069,1568000,"Excreta Matters",297,"MLD"
"69","Aurangabad Municipal Corporation",1070,1400000,"Excreta Matters",204,"MLD"
"70","Bangalore Water Supply and Sewerage Board",1071,7500000,"Excreta Matters",900,"MLD"
"71","Baramati Municipal Corporation",1072,100000,"Excreta Matters",12,"MLD"
"72","Chennai Metropolitan Water Supply and Sewerage Board",1073,5000000,"Excreta Matters",1535,"MLD"
"73","Delhi Jal Board (DJB)",1074,28200000,"Excreta Matters",7600,"MLD"
"74","Guwahati Municipal Corporation",1075,390000,"Excreta Matters",103,"MLD"
"75","Hyderabad Metropolitan Water Supply and Sewerage Board",1076,5740000,"Excreta Matters",930,"MLD"
"76","Indore Municipal Corporation",1077,1296000,"Excreta Matters",204,"MLD"
"77","Jabalpur Municipal Corporation",1078,396000,"Excreta Matters",158,"MLD"
"78","Kanpur Jal Sansthan",1079,3600000,"Excreta Matters",390,"MLD"
"79","Karnataka Urban Water Supply and Drainage Board",1080,NA,NA,27,"MLD"
"80","Karnataka Urban Water Supply and Sewerage Board",1081,NA,NA,111,"MLD"
"81","Kerala Water Authority",1082,1054000,"Excreta Matters",151,"MLD"
"82","Kolkata Municipal Water and Sanitation Agency",1083,5146000,"Excreta Matters",1216,"MLD"
"83","Lucknow Jal Sansthan",1084,2576000,"Excreta Matters",480,"MLD"
"84","Municipal Corporation of Amritsar",1085,2298600,"Excreta Matters",570,"MLD"
"85","Municipal Corporation of Greater Mumbai",1086,15000000,"Excreta Matters",3050,"MLD"
"86","Nagar Palika Parishad",1087,325000,"Excreta Matters",34,"MLD"
"87","Nagpur Municipal Corporation",1088,2295000,"Excreta Matters",530,"MLD"
"88","Patna Municipal Corporation",1089,1020000,"Excreta Matters",325,"MLD"
"89","Haryana Urban Development Authority",1091,640000,"Excreta Matters",107,"MLD"
"90","Public Health and Engineering Department",1092,14158200,"Excreta Matters",2122,"MLD"
"91","Public Works Dept",1093,NA,NA,35,"MLD"
"92","Pune Municipal Corporation",1094,3315000,"Excreta Matters",797,"MLD"
"93","Punjab Water Supply & Sewerage Board",1095,683900,"Excreta Matters",327,"MLD"
"94","Rajkot Municipal Corporation",1096,1200000,"Excreta Matters",211,"MLD"
"95","Ranchi Municipal Corporation",1097,678000,"Excreta Matters",116,"MLD"
"96","Siliguri Municipal Corporation",1098,210000,"Excreta Matters",23,"MLD"
"97","Solapur Municipal Corporation",1099,1020000,"Excreta Matters",125,"MLD"
"98","Surat Municipal Corporation",1100,3800000,"Excreta Matters",220,"MLD"
"99","Thane Municipal Corporation",1101,1862000,"Excreta Matters",362,"MLD"
"100","Uttar Pradesh Jal Nigam",1102,1421000,"Excreta Matters",222,"MLD"
"101","Vadodara Municipal Corporation",1103,1428000,"Excreta Matters",270,"MLD"
"102","City of Srikakulam",1104,100000,"Excreta Matters",10,"MLD"
"103","Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp)",1105,26700000,"http://site.sabesp.com.br/site/interna/Default.aspx?secaoId=4",5789,"MLD"
"104","Mosvodokanal",1106,13000000,"http://www.mosvodokanal.ru/index.php?do=cat&category=about",3464,"MLD"
"105","SEDAPAL",1107,6931600,"http://www.lima-water.de/en/lima.html?Menu=3",1728,"MLD"
"106","Maynilad Water",1108,NA,NA,2790,"MLD"
"107","Karachi Water and Sewerage Board (KW&SB)",1109,18000000,"http://www.kwsb.gos.pk/View.aspx?Page=26",2925,"MLD"
"108","Watercare",1110,1300000,"http://www.watercare.co.nz/about-watercare/about-watercare/Pages/default.aspx",370,"MLD"
"109","Yangon City Development Committee",1111,2608800,"http://asiapacific.anu.edu.au/newmandala/2009/03/02/water-problems-in-yangon/",511,"MLD"
"110","Lyonnaise des Eaux de Casablanca (LYDEC)",1112,710000,"http://www.bvsde.paho.org/bvsacg/e/foro4/18marzo/public/Improving.pdf",466,"MLD"
"111","Sistema de Aguas de la Ciudad de México (SACMEX)",1113,NA,NA,6851,"MLD"
"112","Nairobi City Water and Sewerage Company",1114,1500000,"http://www.nairobiwater.co.ke/about_us/",459,"MLD"
"113","Osaka City Waterworks Bureau",1115,2663000,"http://www.city.osaka.lg.jp/contents/wdu020/english/city_administration/about_osaka/profile_osaka.html",NA,NA
"114","Beijing Water Authority",1116,15380000,"http://www.watsoninstitute.org/ge/watson_scholars/water%20use%20and%20management%20in%20beijing.pdf",9453,"MLD"
"115","Societe de Distribution d'Eau de la Côte d'Ivoire",1117,6500000,"http://fr.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_de_distribution_d'eau_de_la_C%C3%B4te_d'Ivoire",502,"MLD"
"116","Palyja",1118,3000000,"http://en.palyja.co.id/profile/about-us/",438,"MLD"
"117","Aetra",1119,2900000,"http://www.aetra.co.id/index.php/en_GB/profilPerusahaan/page?id=sekilas",411,"MLD"
"118","Hong Kong Water Supplies Department",1120,7000000,"http://www.wsd.gov.hk/en/about_us/welcome_message/index.html",2529,"MLD"
"119","Ghana Water Company Limited - Accra",1121,2900000,"http://www.worldwaterweek.org/documents/WWW_PDF/2009/monday/K21/Dharmaraj_-_Finding_at_Energy_Audit_Services_in_Water_Utilities_in_Sub-Saharan.pdf",290,"MLD"
"120","Berliner Wasserbetriebe",1122,3500000,"http://www.bwb.de/content/language2/html/457.php",585,"MLD"
"121","Alexandria Water Company",1123,1200000,"http://alexwater.com.eg/awco_history_ar.php",2300,"MLD"
