"","DVSN_Name","DVSN_ID","DVSN_Type","DVSN_Date","DVSN_Loc","DVSN_Vol_Tot","Unit","Unmapped?"
"282","Hoover Reservoir",2287,"Reservoir",NA,"40.114314,-82.881816",NA,NA,NA
"283","Scioto River Valley Aquifer",2288,"Groundwater",NA,"39.873516,-83.017699",NA,NA,NA
"284","Lake Bridgeport",2289,"Lake",NA,"33.182962,-97.857139",NA,NA,NA
"285","Eagle Mountain Lake",2290,"Lake",NA,"32.880596,-97.468484",NA,NA,NA
"286","Lake Worth",2291,"Lake",NA,"32.792686,-97.418092",NA,NA,NA
"287","Benbrook Lake",2292,"Lake",NA,"32.649204,-97.456824",NA,NA,NA
"288","Cedar Creek Reservoir",2293,"Reservoir",NA,"32.194209,-96.078289",NA,NA,NA
"289","Richland-Chambers Reservoir",2294,"Reservoir",NA,"31.964396,-96.118801",NA,NA,NA
"290","Mountain Island Lake",2295,"Lake",NA,"35.336484,-80.986497",NA,NA,NA
"291","Lake Norman",2296,"Lake",NA,"35.442072,-80.953815",NA,NA,NA
"292","Loch Raven Reservoir",2298,"Reservoir",NA,"39.432845,-76.543036",NA,NA,NA
"293","Liberty Reservoir",2299,"Reservoir",NA,"39.379558,-76.892195",NA,NA,NA
"294","Prettyboy Reservoir",2300,"Reservoir",NA,"39.620466,-76.70856",NA,NA,NA
"295","Conowingo Dam – Susquehanna River",2301,"River",NA,"39.667557,-76.183662",NA,NA,NA
"296","Quabbin Reservoir",2302,"Reservoir",NA,"42.303023,-72.30154",NA,NA,NA
"297","Wachusett Reservoir",2303,"Reservoir",NA,"42.402164,-71.691155",NA,NA,NA
"298","Ware River",2304,"River",NA,"42.390474,-72.059895",NA,NA,NA
"299","Cedar River - Landsburg diversion dam",2305,"River",NA,"47.376187,-121.961374",NA,NA,NA
"300","South Fork Tolt Reservoir",2306,"Reservoir",NA,"47.694974,-121.686673",NA,NA,NA
"301","Detroit River",2307,"River",NA,"42.233856,-83.132858",NA,NA,NA
"302","Lake St. Clair - 3 WTP intakes",2308,"Lake",NA,"42.512096,-82.863007",NA,NA,NA
"303","Potomac River - Dalecarlia Reservoir",2309,"River",NA,"38.940452,-77.111213",NA,NA,NA
"304","Potomac River - McMillan WTP",2310,"River",NA,"38.94953,-77.13089",NA,NA,NA
"305","Dillon Reservoir",2311,"Reservoir",NA,"39.620565,-106.058664",NA,NA,NA
"306","Tributaries to Fraser River (Moffat Tunnel)",2312,"River",NA,"40.02768,-105.873055",NA,NA,NA
"307","Antero Reservoir",2313,"Reservoir",NA,"38.989636,-105.900478",NA,NA,NA
"308","Eleven Mile Canyon Reservoir",2314,"Reservoir",NA,"38.904334,-105.476786",NA,NA,NA
"309","Cheesman Reservoir",2315,"Reservoir",NA,"39.207783,-105.273163",NA,NA,NA
"310","Gross Reservoir",2316,"Reservoir",NA,"39.948931,-105.358629",NA,NA,NA
"311","Strontia Springs Reservoir",2317,"Reservoir",NA,"39.432365,-105.12723",NA,NA,NA
"312","Bear Creek (to canal)",2318,"River",NA,"39.651996,-105.207009",NA,NA,NA
"313","Ralston Reservoir",2319,"Reservoir",NA,"39.832763,-105.2425",NA,NA,NA
"314","Williams Fork River intake",2320,"River",NA,"39.780277,-105.936441",NA,NA,NA
"315","Bull Run Lake",2321,"Lake",NA,"45.461606,-121.83928",NA,NA,NA
"316","Bull Run Reservoir No. 1",2322,"Reservoir",NA,"45.482612,-122.080851",NA,NA,NA
"317","Bull Run Reservoir No. 2",2323,"Reservoir",NA,"45.447547,-122.147241",NA,NA,NA
"318","Blue Lake Aquifer",2324,"Groundwater",NA,"45.553337,-122.448893",NA,NA,NA
"319","Portland Sand and Gravel Aquifer",2325,"Groundwater",NA,"45.562381,-122.529144",NA,NA,NA
"320","Troutdale Sandstone Aquifer",2326,"Groundwater",NA,"45.578724,-122.574806",NA,NA,NA
"321","Lake Mead",2327,"Lake",NA,"36.017414,-114.73561",NA,NA,NA
"322","Las Vegas Valley Aquifer",2328,"Groundwater",NA,"36.137875,-115.019989",NA,NA,NA
"323","San Gabriel Valley Basin",2329,"Groundwater",NA,"33.82622,-118.187485",NA,NA,NA
"324","Mesa Groundwater",2330,"Groundwater",NA,"33.436026,-111.761169",NA,NA,NA
"325","Chattahoochee River",2331,"River",NA,"33.826523,-84.455799",NA,NA,NA
"326","Biscayne Aquifer",2332,"Groundwater",NA,"25.785053,-80.229378",NA,NA,NA
"327","San Pablo Reservoir",2334,"Reservoir",NA,"37.940475,-122.256546",NA,NA,NA
"328","Briones Reservoir",2335,"Reservoir",NA,"37.916847,-122.208481",NA,NA,NA
"329","Lafayette Reservoir",2336,"Reservoir",NA,"37.883644,-122.139859",NA,NA,NA
"330","Upper San Leandro Reservoir",2337,"Reservoir",NA,"37.763658,-122.098875",NA,NA,NA
"331","Lake Chabot",2338,"Lake",NA,"37.7307,-122.121878",NA,NA,NA
"332","Pardee Reservoir",2339,"Reservoir",NA,"38.257846,-120.849116",NA,NA,NA
"333","Camanche Reservoir",2340,"Reservoir",NA,"38.2236,-121.018867",NA,NA,NA
"334","Mississippi River - Columbia Heights Filtration Plant",2341,"River",NA,"45.144334,-93.312356",NA,NA,NA
"335","Hillsborough River",2343,"River",NA,"28.025091,-82.427909",NA,NA,NA
"336","Alafia River",2344,"River",NA,"27.866775,-82.144089",NA,NA,NA
"337","Floridan Aquifer",2345,"Groundwater",NA,"27.981668,-82.445526",NA,NA,NA
"338","Gulf of Mexico - Tampa Bay",2346,"Ocean",NA,"27.802336,-82.428703",NA,NA,NA
"339","South Platte River Basin",2347,"Groundwater",NA,"39.991391,-104.827938",NA,NA,NA
"340","Aurora Reservoir",2348,"Reservoir",NA,"39.618119,-104.664688",NA,NA,NA
"341","Quincy Reservoir",2349,"Reservoir",NA,"39.635704,-104.779272",NA,NA,NA
"342","Spinney Mountain Reservoir",2350,"Reservoir",NA,"38.976893,-105.62582",NA,NA,NA
"343","Jefferson Reservoir",2351,"Reservoir",NA,"39.452813,-105.862563",NA,NA,NA
"344","Rampart Reservoir",2352,"Reservoir",NA,"38.977427,-104.964623",NA,NA,NA
"345","Turquoise Lake",2353,"Lake",NA,"39.265487,-106.365852",NA,NA,NA
"346","Twin Lakes",2354,"Lake",NA,"39.082306,-106.320105",NA,NA,NA
"347","Pueblo Reservoir",2355,"Reservoir",NA,"38.268915,-104.731293",NA,NA,NA
"348","Lake Henry",2356,"Lake",NA,"38.264333,-103.706818",NA,NA,NA
"349","Lake Meredith",2357,"Lake",NA,"38.19691,-103.698921",NA,NA,NA
"350","Homestake Reservoir",2358,"Reservoir",NA,"39.367616,-106.464214",NA,NA,NA
"351","Orange County Basin",2359,"Groundwater",NA,"33.746324,-117.869396",NA,NA,NA
"352","Missouri River - Howard Bend Plant",2360,"River",NA,"38.683567,-90.545175",NA,NA,NA
"353","Mississippi River - Chain of Rocks Plant",2361,"River",NA,"38.750536,-90.180717",NA,NA,NA
"354","Mississippi River - Coon Rapids",2362,"River",NA,"45.145242,-93.314009",NA,NA,NA
"355","Prairie du Chien-Jordan Aquifer",2363,"Groundwater",NA,"44.961154,-93.100548",NA,NA,NA
"356","Charlottesburg Reservoir",2364,"Reservoir",NA,"41.024884,-74.425035",NA,NA,NA
"357","Echo Lake",2365,"Lake",NA,"41.053013,-74.410229",NA,NA,NA
"358","Canistear Reservoir",2366,"Reservoir",NA,"41.113115,-74.490566",NA,NA,NA
"359","Clinton Reservoir",2367,"Reservoir",NA,"41.075793,-74.45014",NA,NA,NA
"360","Oak Ridge Reservoir",2368,"Reservoir",NA,"41.04222,-74.501638",NA,NA,NA
"361","Wanaque Reservoir",2369,"Reservoir",NA,"41.042171,-74.30367",NA,NA,NA
"362","Monksville Reservoir",2370,"Reservoir",NA,"41.123203,-74.30028",NA,NA,NA
"363","Pompton River",2371,"River",NA,"40.979704,-74.291224",NA,NA,NA
"364","Ramapo River",2372,"River",NA,"41.024528,-74.25303",NA,NA,NA
"365","Bhakra/Nangal Dam - Ravi and Beas rivers",2373,"Reservoir","1960",NA,NA,NA,NA
"366","Upper Ganga Canal - Bhimgoda Barrage Ganges River",2374,"River","1970-2000",NA,NA,NA,NA
"367","Eastern and Western Yamuna Canals and the Agra Canal  - Yamuna River",2375,"River","1970-2000",NA,NA,NA,NA
"368","Dadahu Dams - Giri River",2376,"Reservoir","proposed",NA,NA,NA,NA
"369","Kishau Dam - Tons River",2377,"Reservoir","proposed","30.613927,77.791933",NA,NA,NA
"370","Lekhwar Dam - Tons River",2378,"Reservoir","proposed",NA,NA,NA,NA
"371","Delhi groundwater",2379,"Groundwater","1940-2000","28.777289,76.978347",NA,NA,NA
"372","Tehri Dam - Bhagirathi river",2380,"River",NA,"30.378762,78.47997",NA,NA,NA
"373","Kalukhet Springs",2381,"Groundwater","1885","30.31658,78.210586",NA,NA,NA
"374","Bhatta Falls",2382,"River",NA,"30.438962, 	78.074373",NA,NA,NA
"375","Mossi Falls",2383,"River","1900-1930s","30.439628, 	78.092773",NA,NA,NA
"376","Kesarvala Canal - Bindal River",2384,"River","1936","30.332546, 	78.034451",NA,NA,NA
"377","Rispana River",2385,"River",NA,"30.337111, 	78.065372",NA,NA,NA
"378","Binjapur Canal - Tons River",2386,"River",NA,"30.539791, 	77.825775",NA,NA,NA
"379","Groundwater",2387,"Groundwater","-1965","30.31621, 	78.032364",NA,NA,NA
"380","Tawi River",2389,"River",NA,"32.737906, 	74.881611",NA,NA,NA
"381","Borewells",2390,"Groundwater",NA,"32.726642, 	74.857042",NA,NA,NA
"382","Kolti Khala Spring & Brooklet",2391,"Groundwater",NA,"30.488104,78.115097",NA,NA,NA
"383","Jinsi spring & Brooklet",2392,"Groundwater",NA,"30.485959,78.067976",NA,NA,NA
"384","Bhilaru Spring",2393,"Groundwater",NA,"30.479672,78.087974",NA,NA,NA
"385","Rikholigaad Brooklet, Bansi & Khandighat springs",2394,"Groundwater",NA,"30.435576,78.023516",NA,NA,NA
"386","Khanalti, Undercliff & Bansi springs",2395,"Groundwater",NA,"30.461918,78.054243",NA,NA,NA
"387","John Mackinnon, New Bee & Chamber Khud Springs",2396,"Groundwater","2005","30.443124,78.066345",NA,NA,NA
"388","Dhobighat Springs",2397,"Groundwater",NA,"30.449081, 	78.077989",NA,NA,NA
"389","Naini Lake",2398,"Lake",NA,"29.386064, 	79.459991",NA,NA,NA
"390","Borewells & Springs",2399,"Groundwater","Private Tankers","29.378622, 	79.462373‎",NA,NA,NA
"391","Groundwater",2400,"Groundwater",NA,"29.38296, 	79.466879",NA,NA,NA
"392","Dachigam Nullah/Dal Lake (Part of Jhelum River)",2401,"River",NA,"30.756736, 	78.455949",NA,NA,NA
"393","Sindh River (Part of Jhelum River) - Rangil WTP",2402,"River",NA,NA,NA,NA,NA
"394","Doodhganga River (Part of Jhelum River)",2403,"River",NA,NA,NA,NA,NA
"395","Nagin Lake (Part of Jhelum River)",2404,"River",NA,NA,NA,NA,NA
"396","Srinagar groundwater",2405,"Groundwater",NA,"34.085081,74.789375",NA,NA,NA
"397","Assi Ganga",2406,"River",NA,NA,NA,NA,NA
"398","Kaflou Gad",2407,"River",NA,NA,NA,NA,"Yes, can't find, perhaps tranlation error"
"399","Simodi Khal",2408,"River",NA,NA,NA,NA,"Yes, can't find, perhaps tranlation error"
"400","Yamuna River",2409,"River",NA,NA,NA,NA,NA
"401","Yamuna River",2410,"River","1892",NA,NA,NA,NA
"402","Groundwater",2411,"Groundwater",NA,NA,NA,NA,NA
"403","Groundwater",2412,"Groundwater",NA,"31.634712, 	74.872212",NA,NA,NA
"404","Groundwater",2413,"Groundwater",NA,"30.211423, 	74.946585",NA,NA,NA
"405","Sirhind Canal (Bathinda branch)",2414,"River",NA,"30.234803, 	74.93503",NA,NA,NA
"406","Groundwater; Tubewells - Private & Public",2415,"Groundwater",NA,"28.411634, 	77.309353",NA,NA,NA
"407","Western Yamuna Canal (Tajewala headworks)",2416,"River",NA,"30.122598, 	77.269034",NA,NA,NA
"408","Groundwater",2417,"Groundwater",NA,"28.429449, 	76.975021",NA,NA,NA
"409","Ganga",2418,"River",NA,NA,NA,NA,NA
"410","Groundwater",2419,"Groundwater",NA,NA,NA,NA,NA
"411","Gomtl",2420,"River",NA,"26.915756, 	80.870962",NA,NA,NA
"412","Groundwater",2421,"Groundwater",NA,"26.844367, 	80.951385",NA,NA,NA
"413","Yamuna",2422,"River",NA,"27.513143, 	77.68055",NA,NA,NA
"414","Groundwater",2423,"Groundwater",NA,"27.491446, 	77.673383",NA,NA,NA
"415","Ganga Nahar",2424,"River","1886","29.006264,77.567847",NA,NA,NA
"416","Groundwater",2425,"Groundwater",NA,"28.985131, 	77.708187",NA,NA,NA
"417","Groundwater",2426,"Groundwater",NA,NA,NA,NA,NA
"418","Groundwater;Tubewell",2427,"Groundwater",NA,"30.133706, 	77.291039",NA,NA,NA
"419","Topchanchi Lake",2428,"Lake","1914","23.922875, 	86.182015",NA,NA,NA
"420","Damodar River",2429,"River",NA,"23.709963, 	86.374383",NA,NA,NA
"421","Chharwa Dam",2430,"Lake",NA,"24.02428, 	85.311584",NA,NA,NA
"422","Hazaribagh Lake",2431,"Lake",NA,"24.009658, 	85.363126",NA,NA,NA
"423","Kanke Dam",2432,"River","1960",NA,NA,NA,NA
"424","Rukka Dam",2433,"River",NA,NA,NA,NA,NA
"425","Hatia Dam",2434,"River","1960",NA,NA,NA,NA
"426","Tilwang River",2435,"River",NA,"23.711957, 	92.664405",NA,NA,NA
"427","Deepor Beel",2436,"Lake",NA,"26.12061,91.646206",NA,NA,NA
"428","Brahmaputra River, Bahini Tributary",2437,"River",NA,NA,NA,NA,NA
"429","Groundwater",2438,"Groundwater",NA,NA,NA,NA,NA
"430","Mahananda",2439,"River",NA,"26.645733,88.40121",55,"MLD",NA
"431","Groundwater",2440,"Groundwater",NA,"27.558485, 	76.625476",NA,NA,NA
"432","Banas",2441,"River",NA,"25.258242, 	74.653344",NA,NA,NA
"433","Groundwater",2442,"Groundwater",NA,"25.336695, 	74.62781",NA,NA,NA
"434","Groundwater",2443,"Groundwater",NA,NA,NA,NA,NA
"435","Rajiv Gandhi, Lift Canal",2444,"Reservoir",NA,NA,NA,NA,NA
"436","Jodhpur groundwater",2445,"Groundwater",NA,"26.211819,72.975944",NA,NA,NA
"437","Jaisamand",2446,"Lake","1685-1691","24.269345, 	73.983135",NA,NA,NA
"438","Dewas Dam",2447,"Lake","1973","24.334584,73.803379",NA,NA,NA
"439","Mansi Wakal",2448,"River","2006","24.112915, 	73.367386",NA,NA,NA
"440","Groundwater",2449,"Groundwater",NA,"24.580807, 	73.708241",NA,NA,NA
"441","Kolar Dam",2450,"Reservoir","1940s",NA,NA,NA,NA
"442","Upper Lake",2451,"Lake",NA,NA,NA,NA,NA
"443","Bhopal groundwater",2452,"Groundwater",NA,"23.165614,77.443893",NA,NA,NA
"444","Kshipra",2453,"River",NA,"22.911319, 	75.982068",NA,NA,NA
"445","Narmada",2454,"River",NA,"22.170317, 	75.655031",NA,NA,NA
"446","Groundwater",2455,"Groundwater",NA,"22.959559, 	76.051826",NA,NA,NA
"447","Groundwater",2456,"Groundwater",NA,"26.2177, 	78.181715",NA,NA,NA
"448","Tighara Dam",2457,"Lake",NA,"26.218321, 	78.006599",NA,NA,NA
"449","Bilawali",2458,"Tank","1930s","22.66067,75.870295",NA,NA,NA
"450","Yashwant Sagar",2459,"Lake","1938","22.823498,75.693998",NA,NA,NA
"451","Narmada",2460,"River","1977",NA,NA,NA,NA
"452","Indore groundwater",2461,"Groundwater",NA,"22.72299,75.808357",NA,NA,NA
"453","Khandari reservoir",2462,"River","1893",NA,NA,NA,NA
"454","Narmada",2463,"River",NA,NA,NA,NA,NA
"455","Pariyat Dam/Phagua",2464,"River",NA,NA,NA,NA,NA
"456","Groundwater",2465,"Groundwater",NA,NA,NA,NA,NA
"457","Pahuj",2466,"River",NA,"25.495812, 	78.529844",NA,NA,NA
"458","Groundwater",2467,"Groundwater",NA,"25.445484, 	78.570485",NA,NA,NA
"459","Kanhan",2468,"River","1942","21.230822,79.196392",NA,NA,NA
"460","Gorewada",2469,"Lake","1911",NA,NA,NA,NA
"461","Pench Dam",2470,"River","2008",NA,NA,NA,NA
"462","Aji-I, Lapari & Randerak lakes",2471,"Lake","1950",NA,NA,NA,NA
"463","Nyari-I",2472,"Reservoir","1975",NA,NA,NA,NA
"464","Nyari-II",2473,"Reservoir","1988",NA,NA,NA,NA
"465","Bhadar",2474,"Reservoir","1998","21.82007,70.777252",NA,NA,NA
"466","Groundwater",2475,"Groundwater","2005",NA,NA,NA,NA
"467","Narmada pipeline (Malia Branch begins)",2476,"Reservoir","2006","23.262323,72.382538",NA,NA,NA
"468","Gambhir",2477,"River","1980, 1992","23.186642, 	75.763993",NA,NA,NA
"469","Groundwater",2478,"Groundwater",NA,"23.179047, 	75.786256",NA,NA,NA
"470","Groundwater",2479,"Groundwater",NA,NA,NA,NA,NA
"471","Vishwamitri and Mahi Rivers",2480,"River",NA,NA,NA,NA,NA
"472","Sajahi Sarovar (Dam on Vishwamitri River)",2481,"River",NA,NA,NA,NA,NA
"473","Nathsagar",2482,"Reservoir","1948","19.523553, 	75.334454",NA,NA,NA
"474","Harsul",2483,"Reservoir",NA,"19.928814, 	75.335312",NA,NA,NA
"475","Groundwater",2484,"Groundwater",NA,"19.876719, 	75.340312",NA,NA,NA
"476","Chamaraja Sagara Dam - Arkavathi River",2485,"River",NA,NA,NA,NA,NA
"477","Cauvery",2486,"River","1969",NA,NA,NA,NA
"478","Groundwater",2487,"Groundwater",NA,"12.972034, 	77.59312",NA,NA,NA
"479","Nira Left Bank Canal",2488,"River",NA,"17.944931, 	75.100479",NA,NA,NA
"480","Ujani Dam on Bhima River",2489,"River",NA,"18.197391, 	75.030441",NA,NA,NA
"481","Neerasagar",2490,"Lake",NA,"15.321439, 	74.979801",NA,NA,NA
"482","Renuka Sagar",2491,"Reservoir",NA,"15.358467, 	75.098374",NA,NA,NA
"483","Osman Sagar",2492,"Reservoir",NA,NA,NA,NA,NA
"484","Manjira I & II",2493,"River","1981","17.661034,78.06874",NA,NA,NA
"485","Manjira III & IV",2494,"River",NA,NA,NA,NA,NA
"486","Krishna",2495,"River","2002",NA,NA,NA,NA
"487","Groundwater",2496,"Groundwater",NA,"17.530785,78.41893",NA,NA,NA
"488","Khadakwasla Dam",2497,"Lake",NA,NA,NA,NA,NA
"489","Bhima",2498,"River",NA,"17.422227, 	75.82695",NA,NA,NA
"490","Groundwater",2500,"Groundwater",NA,"17.659767, 	75.907588",NA,NA,NA
"491","Hipparaga",2501,"Lake",NA,"17.724488, 	75.90909",NA,NA,NA
"492","Hemivathi Dam",2502,"River",NA,"12.56535, 	76.452892",NA,NA,NA
"493","Mahanadi",2503,"River",NA,"20.457896,85.744461",NA,NA,NA
"494","Kuakhai",2504,"River",NA,NA,NA,NA,NA
"495","Daya",2505,"River",NA,NA,NA,NA,NA
"496","Bhubaneswar groundwater",2506,"Groundwater",NA,"20.315331,85.791496",NA,NA,NA
"497","Groundwater",2507,"Groundwater",NA,NA,NA,NA,NA
"498","Poondi",2508,"Lake",NA,"13.187805,79.859512",NA,NA,NA
"499","Bay of Bengal",2509,"Ocean","2010","13.053392,80.302398",NA,NA,NA
"500","Veeranam (CWSAP I)",2510,"Lake",NA,NA,NA,NA,NA
"501","Krishna I",2511,"Lake",NA,"14.360856,79.609283",NA,NA,NA
"502","Krishna II",2512,"Lake",NA,"14.32327,79.546112",NA,NA,NA
"503","CWSAP II",2513,"Lake","proposed",NA,NA,NA,"Proposed"
"504","Groundwater",2514,"Groundwater",NA,"20.462962, 	85.88268",NA,NA,NA
"505","Hooghly - Palta WTP",2515,"River",NA,NA,NA,NA,NA
"506","Groundwater",2516,"Groundwater",NA,NA,NA,NA,NA
"507","Chaliyar",2517,"River",NA,"11.259056,75.962879",NA,NA,NA
"508","Tulsi",2518,"Lake",NA,NA,NA,NA,NA
"509","Vihar",2519,"Lake",NA,NA,NA,NA,NA
"510","Tansa",2520,"Lake",NA,NA,NA,NA,NA
"511","Upper Vaitarna",2521,"River",NA,NA,NA,NA,NA
"512","MUDUKARI groundwater",2523,"Groundwater",NA,NA,NA,NA,NA
"513","Tapi River - Katargam WTP",2525,"River",NA,NA,NA,NA,NA
"514","Surat groundwater",2526,"Groundwater",NA,"21.238822,72.862304",NA,NA,NA
"515","Bhatsa Dam",2527,"River",NA,"19.518052, 	73.423176",NA,NA,NA
"516","Karamana River - Aruvikkara Dam",2528,"River",NA,NA,NA,NA,NA
"517","Santa Clara Valley Basin - SCVWD Wells",2529,"Groundwater",NA,"37.281156,-121.896057",NA,NA,NA
"518","Floridan Aquifer",2560,"Groundwater",NA,"27.783202,-82.671432",NA,NA,NA
"519","Nagavali alluvial aquifer and borewells",2561,"Groundwater",NA,"18.329107, 	83.886452",NA,NA,NA
"520","Sirhind Canal (general Punjabi withdrawal)",2562,"River",NA,"30.986292,76.520792",NA,NA,NA
"521","Khanna groundwater",2563,"Groundwater",NA,"30.71284,76.22768",NA,NA,NA
"522","Bhucho groundwater",2564,"Groundwater",NA,"30.220805,75.094589",NA,NA,NA
"523","Rampura groundwater",2565,"Groundwater",NA,"30.271966,75.230242",NA,NA,NA
"524","Hesaraghatta Lake - Arkavathi River",2566,"Lake","1896",NA,NA,NA,NA
"525","Renuka Dam - Giri River",2567,"River",NA,NA,NA,NA,NA
"526","Himayat Sagar",2568,"Lake","1927",NA,NA,NA,NA
"527","THIRUKANJEE groundwater",2569,"Groundwater",NA,NA,NA,NA,NA
"528","Sindh River  - Alsteng WTP",2570,"River",NA,NA,NA,NA,NA
"529","Tapi River - Rander WTP",2571,"River",NA,NA,NA,NA,NA
"530","Tapi River - Sarthana WTP",2572,"River",NA,NA,NA,NA,NA
"531","Karamana River - Peppara Dam Reservoir",2573,"River",NA,NA,NA,NA,NA
"532","Ponte Nova Dam - Alto Tiete system",2574,"Reservoir",NA,"-23.580114,-45.971861",NA,NA,NA
"533","Jundiaí Taiaçupeba Dam - Alto Tiete system",2575,"Reservoir",NA,"-23.626911,-46.195278",NA,NA,NA
"534","Biritiba-Mirim Dam - Alto Tiete system",2576,"Reservoir",NA,"-23.604655,-46.089449",NA,NA,NA
"535","Represa Paraitinga - Alto Tiete system",2577,"Reservoir",NA,"-23.367786,-45.655317",NA,NA,NA
"536","Jaguari Reservoir - Cantareira system",2578,"Reservoir","1981","-23.197332,-46.103611",NA,NA,NA
"537","Cachoeira Reservoir - Cantareira system",2579,"Reservoir","1975","-23.031636,-46.288319",NA,NA,NA
"538","Atibainha Reservoir - Cantareira system",2580,"Reservoir","1975","-23.185655,-46.378269",NA,NA,NA
"539","Paiva Castro Reservoir - Cantareira system",2581,"Reservoir","1973","-23.331321,-46.676295",NA,NA,NA
"540","Jacareí  Reservoir - Cantareira system",2582,"Reservoir","1981","-22.928516,-46.422815",NA,NA,NA
"541","Aguas Claras Dam - Cantareira system",2583,"Reservoir","1973",NA,NA,NA,NA
"542","Billings Reservoir",2584,"Reservoir","1937","-23.707331,-46.670437",NA,NA,NA
"543","Guarapiranga Reservoir",2585,"Reservoir","1906","-23.678643,-46.725626",171,"million m3",NA
"544","Ribeirão do Campo Reservoir - Rio Claro system",2586,"Reservoir",NA,"-23.638352,-45.833158",NA,NA,NA
"545","São Paulo Groundwater",2587,"Groundwater",NA,"-23.459034, -46.604407",NA,NA,NA
"546","North WTP",2588,"River",NA,"55.968227,37.523975",NA,NA,NA
"547","East WTP",2589,"River",NA,"55.822164,37.885494",NA,NA,NA
"548","Rublevskaya WTP",2590,"River",NA,"55.782836,37.344718",NA,NA,NA
"549","Western WTP",2591,"River",NA,"55.635167,37.403984",NA,NA,NA
"550","Artesian wells",2592,"Groundwater",NA,"55.813629,37.486038",NA,NA,NA
"551","Volga River intake to Moscow Canal",2593,"River",NA,"56.737153, 37.121886",NA,NA,NA
"552","Rio Rimac",2594,"River",NA,"-12.02611,-76.965795",NA,NA,NA
"553","Lima Groundwater",2595,"Groundwater",NA,"-12.047341, -77.071930",NA,NA,NA
"554","Laguna de Bay",2596,"Lake",NA,"14.398353,121.064315",NA,NA,NA
"555","Angat Reservoir",2597,"Reservoir",NA,"14.908346, 121.166779",8.5e+08,"cubic meters",NA
"556","Ipo Dam",2598,"River",NA,"14.874783, 121.147957",5900000,"cubic meters",NA
"557","La Mesa Reservoir",2599,"Reservoir",NA,"14.711898, 121.076560",NA,NA,NA
"558","Manila Groundwater",2600,"Groundwater",NA,"14.597372,120.99226",NA,NA,NA
"559","Hub Dam",2601,"River",NA,"25.357020, 67.164105",NA,NA,NA
"560","Kalri Lake",2602,"Lake",NA,"24.956528, 68.060395",NA,NA,NA
"561","Indus River intake to Kalri Lake",2603,"River",NA,"25.444830, 68.316899",NA,NA,NA
"562","Malir River wells",2604,"Groundwater",NA,"24.964292, 67.329088",NA,NA,NA
"563","Auckland groundwater",2605,"Groundwater",NA,"-36.863445, 174.751050",NA,NA,NA
"564","Mangatangi Dam",2606,"River","1977","-37.103392, 175.210790",35.3,"gigalitres",NA
"565","Mangatawhiri Dam",2607,"River","1965","-37.076501, 175.154086",16.2,"gigalitres",NA
"566","Cosseys Dam",2608,"River","1955","-37.054086, 175.106878",14.03,"gigalitres",NA
"567","Wairoa Dam",2609,"River","1975","-37.093034, 175.126332",11.6,"gigalitres",NA
"568","Hays Creek Dam",2610,"River","1967","-37.072441, 175.016113",1.1,"gigalitres",NA
"569","Waitakere Dam",2611,"River","1910","-36.902571, 174.523335",1.76,"gigalitres",NA
"570","Upper Nihotupu Dam",2612,"River","1923","-36.948414, 174.560872",2.2,"gigalitres",NA
"571","Lower Nihotupu Dam",2613,"River","1948","-36.957627, 174.613241",4.6,"gigalitres",NA
"572","Upper Huia Dam",2614,"River","1929","-36.962872, 174.533661",2.2,"gigalitres",NA
"573","Lower Huia Dam",2615,"River","1971","-36.982330, 174.567456",6.4,"gigalitres",NA
"574","Waikato River",2616,"River","2002","-37.282726,174.994698",NA,NA,NA
"575","Gyobyu Reservoir",2617,"Reservoir",NA,"17.375426, 96.052748",NA,NA,NA
"576","Phyugyi Reservoir",2618,"Reservoir",NA,"17.255635, 96.055152",NA,NA,NA
"577","Hlawga Reservoir",2619,"Reservoir",NA,"16.994072, 96.110783",NA,NA,NA
"578","Ngamoeyeik Reservoir",2620,"Reservoir",NA,"17.371379, 96.133390",NA,NA,NA
"579","Lower Ayeyarwady River Basin",2621,"River",NA,"17.101347, 95.639166",85800,"cubic meters/yr",NA
"580","Ayeyarwady & Pegu alluvial aquifers",2622,"Groundwater",NA,"16.790046, 96.199283 (close to Pegu R.)",153249,"cubic meters/yr",NA
"581","Casablanca groundwater",2623,"Groundwater",NA,"33.580116, -7.585229",NA,NA,NA
"582","Barrage Sidi Saïd Maâchou",2624,"River",NA,"33.142223, -8.105134",NA,NA,NA
"583","Barrage Daourat",2625,"River",NA,"32.939729, -8.046109",NA,NA,NA
"584","Bou Regreg River",2626,"River",NA,"33.939607, -6.769716",NA,NA,NA
"585","Basin of Mexico",2627,"Groundwater",NA,"19.430334,-99.131012",NA,NA,NA
"586","Colorines Dam",2628,"River",NA,"19.172086,-100.221233",1.5,"hm^3",NA
"587","Valle de Bravo Dam",2629,"Lake",NA,"19.200134,-100.15008",395,"hm^3",NA
"588","Chilesdo Dam",2670,"River",NA,"19.358522,-100.157783",1.5,"hm^3",NA
"589","Villa Victoria",2671,"Lake",NA,"19.483383,-100.033135",186,"hm^3",NA
"590","Tuxpan Dam",2672,"River",NA,"19.542239,-100.486279",5,"hm^3",NA
"591","El Bosque",2673,"Reservoir",NA,"19.368401,-100.409374",202,"hm^3",NA
"592","Ixtapan del Oro",2674,"River",NA,"19.276268,-100.254799",0.5,"hm^3",NA
