"","DVSN_Name","DVSN_ID","DVSN_Type","DVSN_Date","DVSN_Loc","DVSN_Vol_Tot","Unit","Unmapped?"
"64","Darlık Reservoir",2064,"Reservoir",NA,"41.114667,29.567445",107500,"million m3 (vol_T)",NA
"65","Elmalı Reservoir",2065,"Reservoir",NA,"41.076359,29.117757",9600,"million m3 (vol_T)",NA
"66","Terkos Lake",2066,"Reservoir",NA,"41.336083,28.617772",162241,"million m3 (vol_T)",NA
"67","Alibey Reservoir",2067,"Reservoir",NA,"41.102526,28.92109",34143,"million m3 (vol_T)",NA
"68","Lake Buyukcekmece",2068,"Reservoir",NA,"41.02919,28.570105",148943,"million m3 (vol_T)",NA
"69","Sazlidere",2069,"Reservoir",NA,"41.106762,28.718711",88730,"million m3 (vol_T)",NA
"70","Istrancalar Project - Düzdere Dam",2070,"Reservoir",NA,"41.468699,28.29181",3116,"million m3 (vol_T)",NA
"71","Istrancalar Project - Kuzuludere Dam",2071,"Reservoir",NA,"41.486029,28.26209",3116,"million m3 (vol_T)",NA
"72","Kazandere Dam",2072,"Reservoir",NA,"41.615563,28.071955",17424,"million m3 (vol_T)",NA
"73","Pabuçdere Dam",2073,"Reservoir",NA,"41.63902,28.061565",58500,"million m3 (vol_T)",NA
"74","Yesilcay Regulator",2074,"Reservoir",NA,"41.109421,29.827965",NA,NA,NA
"75","Melen Regulator",2075,"Reservoir",NA,"41.00837,30.965989",NA,NA,NA
"76","Unnamed groundwater basin",2076,"Groundwater",NA,"41.020319,29.057465",NA,NA,NA
"77","Pinilla Reservoir",2077,"Reservoir","1967","40.944898,-3.774696",38100,"Million litres for total",NA
"78","Riosequillo Reservoir",2078,"Reservoir","1958","40.984239,-3.649699",50000,"Million litres for total",NA
"79","Puentes Viejas Reservoir",2079,"Reservoir","1938","40.992746, -3.573673",53000,"Million litres for total",NA
"80","El Villar Reservoir",2080,"Reservoir","1879","40.947784, -3.562546",22400,"Million litres for total",NA
"81","El Atazar Reservoir",2081,"Reservoir","1972","40.911569, -3.475064",425300,"Million litres for total",NA
"82","El Vado Reservoir",2082,"Reservoir","1960","41.003739, -3.299856",55700,"Million litres for total",NA
"83","Pedrezuela Reservoir",2083,"Reservoir","1968","40.774039, -3.646928",40900,"Million litres for total",NA
"84","Manzanares El Real Reservoir",2084,"Reservoir","1912/1971","40.708349, -3.819067",91200,"Million litres for total",NA
"85","Navacerrada Reservoir",2085,"Reservoir","1969","40.719200, -4.007502",11000,"Million litres for total",NA
"86","Navalmedio Reservoir",2086,"Reservoir","1969","40.750124, -4.036464",700,"Million litres for total",NA
"87","La Jarosa Reservoir",2087,"Reservoir","1969","40.667424, -4.123570",7200,"Million litres for total",NA
"88","Valmayor Reservoir",2089,"Reservoir","1976","40.535575, -4.048383",124400,"Million litres for total",NA
"89","La Aceña Reservoir",2090,"Reservoir","1991","40.612894,-4.221843",23700,"Million litres for total",NA
"90","Los Morales Reservoir",2091,"Reservoir","1988","40.315023,-4.52047",2300,"Million litres for total",NA
"91","La Parra Azud - Río Lozoya",2092,"River","1904","40.913237,-3.451876",NA,NA,NA
"92","El Mesto Azud - Río Guadalix",2093,"River","1906","40.726633,-3.613521",NA,NA,NA
"93","Pozo de los Ramos Azud - Río Sorbe",2094,"River","1972","41.025418,-3.200372",NA,NA,NA
"94","Las Nieves -  Río Guadarrama",2095,"River","1974","40.615712,-3.993028",NA,NA,NA
"95","Unnamed groundwater basin",2096,"Groundwater",NA,NA,NA,NA,NA
"96","Ogun River",2097,"River",NA,"6.745471, 3.342542",NA,NA,NA
"97","River Aye",2098,"River",NA,"6.661539,3.773777",NA,NA,NA
"98","River Owo",2099,"River",NA,"6.500793,3.103205",NA,NA,NA
"99","Lagos groundwater",2100,"Groundwater",NA,"6.438471,3.537742",NA,NA,NA
"100","Camatagua Reservoir",2101,"Reservoir",NA,"9.818682,-66.945976",1573000,"million liters for total",NA
"101","Lagartijo Reservoir",2102,"Reservoir","1962","10.188429,-66.719168",80000,"million liters for total",NA
"102","Taguaza Reservoir",2103,"Reservoir","1997","10.155239,-66.454159",184000,"million liters for total",NA
"103","La Mariposa Reservoir",2104,"Reservoir","1949","10.408068,-66.927191",8000,"million liters for total",NA
"104","La Pereza Reservoir",2105,"Reservoir","1969","10.446033,-66.738363",8000,"million liters for total",NA
"105","Ocumarito Reservoir",2106,"Reservoir","1969","10.0981,-66.800333",7000,"million liters for total",NA
"106","Quebrada Seca Reservoir",2107,"Reservoir","1961","10.211248,-66.738302",7000,"million liters for total",NA
"107","Taguacita Reservoir",2108,"Reservoir",NA,"10.215851,-66.55971",120000,"million liters for total",NA
"108","Agua Fría Reservoir",2109,"Reservoir","1949","10.392344,-67.182132",5750,"million liters for total",NA
"109","El Guapo Reservoir",2110,"Reservoir","1977","10.106191,-65.978271",NA,NA,NA
"110","Nile Intake North",2111,"River",NA,"15.704287, 32.528125",NA,NA,NA
"111","Nile Intake Middle",2112,"River",NA,"15.676654, 32.512915",NA,NA,NA
"112","Nile Intake South",2113,"River",NA,"15.641284, 32.505065",NA,NA,NA
"113","Blue Nile Intake West",2114,"River",NA,"15.613660, 32.524806",NA,NA,NA
"114","Blue Nile Intake East",2115,"River",NA,"15.518863, 32.664187",NA,NA,NA
"115","White Nile Intake",2116,"River",NA,"15.592003, 32.486125",NA,NA,NA
"116","Groundwater Wells",2117,"Groundwater",NA,"Several; see link",NA,NA,NA
"117","Haffirs",2118,"Lake",NA,"15.577197,32.813108",NA,NA,NA
"118","Han River Intake",2119,"River",NA,"37.533958, 127.047562",NA,NA,NA
"119","Panden Reservoir",2120,"Reservoir",NA,"1.316273, 103.743953",NA,NA,NA
"120","Jurong Lake Reservoir",2121,"Reservoir",NA,"1.342870, 103.727729",NA,NA,NA
"121","Upper Peirce Reservoir",2122,"Reservoir",NA,"1.368008, 103.803782",NA,NA,NA
"122","Bedok Reservoir",2123,"Reservoir",NA,"1.341324, 103.925663",NA,NA,NA
"123","Lower Seletar Reservoir",2124,"Reservoir",NA,"1.405862, 103.842322",NA,NA,NA
"124","Murai Reservoir",2125,"Reservoir",NA,"1.402193, 103.672993",NA,NA,NA
"125","Sarimbun Reservoir",2126,"Reservoir",NA,"1.425163, 103.684796",NA,NA,NA
"126","Marina Reservoir",2127,"Reservoir",NA,"1.282868,103.871094",NA,NA,NA
"127","Punggol Reservoir",2128,"Reservoir",NA,"1.389613, 103.917552",NA,NA,NA
"128","Kranji Reservoir",2129,"Reservoir",NA,"1.425048, 103.739197",NA,NA,NA
"129","MacRitchie Reservoir",2130,"Reservoir",NA,"1.344978, 103.822975",NA,NA,NA
"130","Lower Peirce Reservoir",2131,"Reservoir",NA,"1.370268, 103.822716",NA,NA,NA
"131","Upper Seletar Reservoir",2132,"Reservoir",NA,"1.401924, 103.801439",NA,NA,NA
"132","Poyan Reservoir",2133,"Reservoir",NA,"1.377489, 103.664941",NA,NA,NA
"133","Tengeh Reservoir",2134,"Reservoir",NA,"1.377879,103.657158",NA,NA,NA
"134","Pulau Tekong Reservoir",2135,"Reservoir",NA,"1.416928, 104.044294",NA,NA,NA
"135","Serangoon Reservoir",2136,"Reservoir",NA,"1.395212,103.920983",NA,NA,NA
"136","Johor River intake",2137,"River",NA,"1.726994, 103.900994",NA,NA,NA
"137","Tuas Desalination Plant",2138,"Ocean",NA,"1.295921, 103.630875",NA,NA,NA
"138","Evangeline Aquifer",2139,"Groundwater",NA,"29.801326,-95.674653",NA,NA,NA
"139","Chicot Aquifer",2140,"Groundwater",NA,"29.764377,-95.700746",NA,NA,NA
"140","Lake Livingston",2141,"Lake",NA,"30.633186,-95.038811",NA,NA,NA
"141","Lake Conroe",2142,"Lake",NA,"30.364581,-95.563992",NA,NA,NA
"142","Lake Houston",2143,"Lake",NA,"29.925184,-95.136211",NA,NA,NA
"143","Schuylkill River - Queen Lane Plant",2144,"River",NA,"40.006009,-75.191509",NA,NA,NA
"144","Schuylkill River - Belmont Plant",2145,"River",NA,"39.986102,-75.204963",NA,NA,NA
"145","Delaware River - Baxter Plant",2146,"River",NA,"40.038409,-74.993749",NA,NA,NA
"146","Lake Pleasant",2148,"Lake",NA,"33.851314,-112.268309",NA,NA,NA
"147","Theodore Roosevelt Lake",2149,"Lake",NA,"33.65921,-111.04711",NA,NA,NA
"148","Apache Lake",2150,"Lake",NA,"33.591779,-111.342279",NA,NA,NA
"149","Canyon Lake",2151,"Lake",NA,"33.55191,-111.441156",NA,NA,NA
"150","Saguaro Lake",2152,"Lake",NA,"33.568289,-111.536171",NA,NA,NA
"151","Horseshoe Reservoir",2153,"Lake",NA,"33.985618,-111.711872",NA,NA,NA
"152","Bartlett Reservoir",2154,"Lake",NA,"33.818893,-111.629594",NA,NA,NA
"153","C. C. Cragin Reservoir",2155,"Lake",NA,"34.554153,-111.184475",NA,NA,NA
"154","Edwards Aquifer",2156,"Groundwater",NA,"29.835879,-98.646455",NA,NA,NA
"155","Carrizo Aquifer",2157,"Groundwater",NA,"28.863918,-98.296266",NA,NA,NA
"156","Trinity Aquifer",2158,"Groundwater",NA,"29.726222,-98.73456",NA,NA,NA
"157","Canyon Lake",2159,"Lake",NA,"29.869229,-98.205122",NA,NA,NA
"158","Unnamed desalination plant",2160,"Ocean",NA,"21.49029,39.142815",NA,NA,NA
"159","Unnamed groundwater basin",2161,"Groundwater",NA,NA,NA,NA,NA
"160","Lake Miramar",2162,"Lake",NA,"32.914252,-117.105037",NA,NA,NA
"161","Murray Reservoir",2163,"Reservoir",NA,"32.782656,-117.044784",NA,NA,NA
"162","El Capitan Lake",2164,"Lake",NA,"32.88384,-116.80734",NA,NA,NA
"163","Lower Otay Lake",2165,"Lake",NA,"32.611038,-116.930507",NA,NA,NA
"164","Upper Otay Lake",2166,"Lake",NA,"32.649656,-116.932222",NA,NA,NA
"165","San Vicente Reservoir",2167,"Reservoir",NA,"32.913945,-116.926077",NA,NA,NA
"166","Hodges Reservoir",2168,"Reservoir",NA,"33.046047,-117.126943",NA,NA,NA
"167","Sutherland Reservoir",2169,"Reservoir",NA,"33.117209,-116.786863",NA,NA,NA
"168","Barrett Reservoir",2170,"Reservoir",NA,"32.680852,-116.669754",NA,NA,NA
"169","Morena Reservoir",2171,"Reservoir",NA,"32.686451,-116.54555",NA,NA,NA
"170","Shasta Lake",2172,"Lake",NA,"40.722088,-122.415861",NA,NA,NA
"171","Whiskeytown Lake",2173,"Lake",NA,"40.60294,-122.542451",NA,NA,NA
"172","Trinity Lake",2174,"Lake",NA,"40.804779,-122.763769",NA,NA,NA
"173","San Luis Reservoir",2175,"Reservoir",NA,"37.061205,-121.081404",NA,NA,NA
"174","Castaic Lake",2176,"Lake",NA,"34.523671,-118.606879",NA,NA,NA
"175","Folsom Lake",2177,"Lake",NA,"38.709491,-121.152605",NA,NA,NA
"176","Perris Reservoir",2179,"Reservoir",NA,"33.850245,-117.186283",NA,NA,NA
"177","Skinner Reservoir",2180,"Reservoir",NA,"33.588562,-117.070061",NA,NA,NA
"178","Lake Mathews",2181,"Lake",NA,"33.852954,-117.443603",NA,NA,NA
"179","Silverwood Lake",2182,"Lake",NA,"34.303315,-117.316059",NA,NA,NA
"180","Lake Oroville",2183,"Lake",NA,"39.542705,-121.479366",NA,NA,NA
"181","New Melones Lake",2184,"Lake",NA,"37.951507,-120.519702",NA,NA,NA
"182","Los Banos Reservoir",2185,"Reservoir",NA,"36.990008,-120.933994",NA,NA,NA
"183","Little Panoche Reservoir",2186,"Reservoir",NA,"36.782557,-120.797995",NA,NA,NA
"184","Quail Lake",2187,"Lake",NA,"34.77264,-118.75604",NA,NA,NA
"185","Pyramid Lake",2188,"Lake",NA,"34.645495,-118.763991",NA,NA,NA
"186","Lewiston Lake",2189,"Lake",NA,"40.726706,-122.791456",NA,NA,NA
"187","Clifton Forebay",2190,"River",NA,"37.839343,-121.561845",NA,NA,NA
"188","Diamond Valley Lake",2191,"Lake",NA,"33.674783,-117.059854",NA,NA,NA
"189","Elm Fork of the Trinity River - Elm Fork WTP",2192,"River",NA,"32.971471,-96.936632",NA,NA,NA
"190","Ray Roberts Lake",2193,"Lake",NA,"33.357631,-97.055504",NA,NA,NA
"191","Lewisville Lake",2194,"Lake",NA,"33.075145,-96.964328",NA,NA,NA
"192","Grapevine Lake",2195,"Lake",NA,"32.970508,-97.061316",NA,NA,NA
"193","Ray Hubbard Lake",2196,"Lake",NA,"32.814978,-96.515287",NA,NA,NA
"194","Tawakoni Lake",2197,"Lake",NA,"32.832866,-95.918987",NA,NA,NA
"195","Fork Lake",2198,"Lake",NA,"32.813969,-95.543658",NA,NA,NA
"196","Bouquet Reservoir",2201,"Reservoir",NA,"34.578776,-118.384001",NA,NA,NA
"197","Convict Lake",2202,"Lake",NA,"37.593764,-118.852979",NA,NA,NA
"198","Drinkwater Reservoir",2203,"Reservoir",NA,"34.530707,-118.521915",NA,NA,NA
"199","Fairmont Reservoir",2204,"Reservoir",NA,"34.712267,-118.435456",NA,NA,NA
"200","Grant Lake",2205,"Lake",NA,"37.858727,-119.105727",NA,NA,NA
"201","Lake Crowley",2206,"Lake",NA,"37.587847,-118.709385",NA,NA,NA
"202","Los Angeles Reservoir",2207,"Reservoir",NA,"34.298104,-118.48311",NA,NA,NA
"203","North Haiwee Reservoir",2208,"Reservoir",NA,"36.188183,-117.955669",NA,NA,NA
"204","South Haiwee Reservoir",2209,"Reservoir",NA,"36.139816,-117.950262",NA,NA,NA
"205","Pleasant Valley Reservoir",2210,"Reservoir",NA,"37.415505,-118.525621",NA,NA,NA
"206","Tinemaha Reservoir",2211,"Reservoir",NA,"37.054013,-118.2208",NA,NA,NA
"207","Lee Vining Creek",2212,"River",NA,"37.936279,-119.139371",NA,NA,NA
"208","Walker Creek",2213,"River",NA,"37.895458, -119.122667",NA,NA,NA
"209","Parker Creek",2214,"River",NA,"37.875436, -119.118835",NA,NA,NA
"210","Owens River Below East Portal",2215,"River",NA,"37.674681, -118.757993",NA,NA,NA
"211","Hot Creek",2216,"River",NA,"37.705946, -118.789333",NA,NA,NA
"212","Convict Creek",2217,"River",NA,"37.608273, -118.781301",NA,NA,NA
"213","McGee Creek",2218,"River",NA,"37.603092, -118.786787",NA,NA,NA
"214","Rock Creek",2219,"River",NA,"37.437787, -118.562445",NA,NA,NA
"215","Bishop Creek",2220,"River",NA,"37.375363, -118.341563",NA,NA,NA
"216","Baker Creek",2221,"River",NA,"37.181275, -118.302690",NA,NA,NA
"217","Big Pine Creek",2222,"River",NA,"37.167312, -118.283606",NA,NA,NA
"218","Tenehemah Creek",2223,"River",NA,"37.065667, -118.231520",NA,NA,NA
"219","Owens River below Pine Creek",2224,"River",NA,"37.122878, -118.236521",NA,NA,NA
"220","Independence Creek",2225,"River",NA,"36.822190, -118.186282",NA,NA,NA
"221","Lone Pine Creek",2226,"River",NA,"36.603854, -118.075694",NA,NA,NA
